head	display_name	rows	in_shopping	majority_category	concentration	poi_type	store_kind	already_in_dictionary
garrafeira d	Garrafeira D.	4	0	liquor_store	1.0	store	wine_and_spirits	False
ourivesaria sao	Ourivesaria São	4	0	jewelry_store	1.0	store	jewelry	False
ferrache	Ferrache	4	0	clothing_store	0.75	store	clothing	False
opticalia brancoptica	Opticalia Brancoptica	4	2	photography_store_and_services	1.0	store	photography_store_and_services	True
ourivesaria pinho	Ourivesaria Pinho	4	0	jewelry_store	1.0	store	jewelry	False
ourivesaria sousa	Ourivesaria Sousa	4	0	jewelry_store	1.0	store	jewelry	False
viveiros da	Viveiros da	4	0	nursery_and_gardening	1.0	store	nursery_and_gardening	False
sneakers concept	Sneakers Concept	4	0	shoe_store	0.75	store	shoes	False
pili carrera	Pili Carrera	4	0	childrens_clothing_store	1.0	store	childrens_clothing	False
petlandia	Petlandia	4	0	pet_store	1.0	store	pet	False
eurolojas	Eurolojas	4	0	discount_store	1.0	store	any	False
medical optics	Medical Optics	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
sofaszone	SofásZone	4	0	furniture_store	1.0	store	furniture	False
sapataria 995	Sapataria 995	4	0	shoe_store	1.0	store	shoes	False
atola	Atôla	4	0	clothing_store	1.0	store	clothing	False
horto da	Horto da	4	0	nursery_and_gardening	0.75	store	nursery_and_gardening	False
sports world	Sports World	4	0	sports_wear	0.75	store	sports	False
tendencias moda	Tendências Moda	4	0	womens_clothing_store	0.75	store	womens_clothing	False
manuel dos	Manuel dos	4	0	building_supply_store	1.0	store	hardware	False
moveis sao	Móveis São	4	0	furniture_store	1.0	store	furniture	False
moveis goncalves	Móveis Gonçalves	4	0	furniture_store	0.75	store	furniture	False
traquinas	Traquinas	4	1	clothing_store	0.667	store	clothing	False
tentacao do	Tentação do	4	2	home_goods_store	1.0	store	home	False
optica d	Óptica d'Avenida	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
moveis costa	Móveis Costa	4	0	furniture_store	0.75	store	furniture	False
vida de	Vida de	3	0	pet_store	0.667	store	pet	False
moveis vieira	Móveis Vieira	3	0	furniture_store	1.0	store	furniture	False
sapataria goncalves	Sapataria Gonçalves	3	0	shoe_store	1.0	store	shoes	False
modas jacintos	Modas Jacintos	3	0	womens_clothing_store	1.0	store	womens_clothing	False
diva s	Diva's Sapataria	3	0	clothing_store	0.667	store	clothing	False
fotosport	Fotosport	3	0	photography_store_and_services	1.0	store	photography_store_and_services	False
maos de	Mãos de	3	0	clothing_store	0.667	store	clothing	False
party fiesta	Party Fiesta	3	1	party_supply	1.0	store	party_supply	False
luggage storage	Luggage Storage	3	0	luggage_store	1.0	store	luggage	False
foreva	Foreva	3	0	shoe_store	0.667	store	shoes	True
galeria da	Galeria da	3	0	antique_store	0.667	store	antique	False
ourivesaria suica	Ourivesaria Suiça	3	0	jewelry_store	1.0	store	jewelry	False
ourivesaria coimbra	Ourivesaria Coimbra	3	0	jewelry_store	1.0	store	jewelry	False
kozii shop	Kozii Shop	3	0	clothing_store	1.0	store	clothing	False
palloram	Palloram	3	0	clothing_store	1.0	store	clothing	False
reparacao mobile	Reparação Mobile	3	0	mobile_phone_store	0.667	store	phone	False
joias da	Joias da	3	0	jewelry_store	1.0	store	jewelry	False
new fashion	New Fashion	3	0	clothing_store	0.667	store	clothing	False
joalharia do	Joalharia do	3	0	jewelry_store	1.0	store	jewelry	False
moda da	Moda da	3	0	clothing_store	1.0	store	clothing	False
carlos manuel	Carlos Manuel	3	0	auto_parts_and_supply_store	0.667	store	auto_parts_and_supply	False
expert	Expert	3	0	electronics	0.667	store	electronics	False
nova moda	Nova Moda,	3	0	clothing_store	0.667	store	clothing	False
gira sol	Gira Sol	3	0	childrens_clothing_store	0.667	store	childrens_clothing	False
cay ville	Cay Ville	3	0	clothing_store	0.667	store	clothing	False
neway shopping	Neway Shopping	3	0	department_store	1.0	store	any	False
ana silva	Ana Silva	3	0	womens_clothing_store	0.667	store	womens_clothing	False
phone fix	Phone Fix	3	0	mobile_phone_store	1.0	store	phone	False
pedemeia	Pedemeia	3	0	clothing_store	0.667	store	clothing	False
ourivesaria carlos	Ourivesaria Carlos	3	0	jewelry_store	1.0	store	jewelry	False
i racional	i Racional	3	0	pet_store	1.0	store	pet	False
why not	Why Not	3	0	e_cigarette_store	0.667	store	e_cigarette	False
cabeceiras pt	Cabeceiras.pt Loja	3	0	furniture_store	0.667	store	furniture	False
dietsport	DietSport	3	0	vitamins_and_supplements	1.0	store	vitamins_and_supplements	False
vestidos de	Vestidos de	3	0	bridal_shop	0.667	store	bridal	False
robert mauser	Robert Mauser	3	0	electronics	1.0	store	electronics	False
sika portugal	Sika Portugal	3	0	paint_store	1.0	store	hardware	False
joias e	Joias e	3	1	jewelry_store	1.0	store	jewelry	False
le creuset	Le Creuset	3	0	home_goods_store	1.0	store	home	False
ecco shoes	ECCO Shoes	3	0	shoe_store	1.0	store	shoes	False
iservices	iServices	3	0	electronics	1.0	store	electronics	False
made by	Made by	3	1	womens_clothing_store	1.0	store	womens_clothing	False
gant	GANT	3	0	mens_clothing_store	0.667	store	mens_clothing	False
bulhosa books	Bulhosa Books	3	0	bookstore	1.0	store	books	False
liu jo	Liu Jo	3	0	clothing_store	1.0	store	clothing	False
cacicambra	Cacicambra	3	0	outdoor_gear	0.667	store	sports	False
ourivesaria rosa	Ourivesaria Rosa	3	1	jewelry_store	1.0	store	jewelry	False
quatro patas	Quatro Patas	3	1	pet_store	1.0	store	pet	False
garrafeira de	Garrafeira de	3	1	liquor_store	1.0	store	wine_and_spirits	False
radio holland	Radio Holland	3	0	electronics	1.0	store	electronics	False
andre opticas	André Ópticas	3	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
luz e	Luz e	3	0	audio_visual_equipment_store	1.0	store	electronics	False
miminhos de	Miminhos de	3	0	clothing_store	0.667	store	clothing	False
sapataria primavera	Sapataria Primavera	3	0	shoe_store	1.0	store	shoes	False
paladares do	Paladares do	3	1	health_food_store	1.0	store	health_food	False
papelaria joao	Papelaria João	3	1	office_equipment	1.0	store	office_equipment	False
botao de	Botão de	3	0	arts_and_crafts	0.667	store	arts_and_crafts	False
industria dos	Indústria dos	3	1	eyewear_and_optician	1.0	store	eyewear_and_optician	False
homycasa	HomyCasa	3	0	furniture_store	1.0	store	furniture	False
outlaw	Outlaw	3	0	sports_wear	1.0	store	sports	False
my dream	My Dream	3	0	clothing_store	0.667	store	clothing	False
sociedad de	Sociedad de	3	0	building_supply_store	0.667	store	hardware	False
telemoveis e	Telemoveis e	3	0	mobile_phone_store	1.0	store	phone	False
sofmovel	Sofmovel	3	0	furniture_store	1.0	store	furniture	False
jardim da	Jardim da	3	0	nursery_and_gardening	0.667	store	nursery_and_gardening	False
dara jewels	Dara Jewels	3	0	jewelry_store	1.0	store	jewelry	False
jumbo	Jumbo	3	1	superstore	1.0	store	any	False
gasolineira auchan	Gasolineira Auchan	3	0	electronics	0.667	store	electronics	False
ourivesaria brilhante	Ourivesaria Brilhante	3	0	jewelry_store	1.0	store	jewelry	False
auto pneus	Auto Pneus	3	0	home_goods_store	0.667	store	home	False
doce lar	Doce Lar	3	0	furniture_store	0.667	store	furniture	False
simbologia	Simbologia	3	0	clothing_store	0.667	store	clothing	False
punt roma	Punt Roma	3	0	womens_clothing_store	1.0	store	womens_clothing	False
lacos e	Laços e	3	0	childrens_clothing_store	0.667	store	childrens_clothing	False
moveis fernandes	Móveis Fernandes	3	1	furniture_store	1.0	store	furniture	False
flamingo store	Flamingo Store	3	0	clothing_store	0.667	store	clothing	False
redecor algarve	Redecor Algarve	3	0	building_supply_store	0.667	store	hardware	False
patinhas mimadas	Patinhas Mimadas	3	0	pet_store	1.0	store	pet	False
pollux	Pollux	3	0	furniture_store	1.0	store	furniture	False
livraria a	Livraria A	3	0	bookstore	1.0	store	books	False
nike store	Nike Store	3	0	sporting_goods	1.0	store	sports	True
ourivesaria alianca	Ourivesaria Aliança	3	0	jewelry_store	1.0	store	jewelry	False
el ganso	El Ganso	3	0	clothing_store	1.0	store	clothing	False
forall phones	Forall Phones	3	0	mobile_phone_store	1.0	store	phone	False
superdry	Superdry	3	0	clothing_store	0.667	store	clothing	False
portugal wine	Portugal Wine	3	0	liquor_store	0.667	store	wine_and_spirits	False
ourivesaria da	Ourivesaria da	3	0	jewelry_store	1.0	store	jewelry	False
tudo4mobile	Tudo4Mobile	3	0	mobile_phone_store	1.0	store	phone	False
fashion star	Fashion Star	3	0	clothing_store	0.667	store	clothing	False
rosa clara	Rosa Clará	3	0	womens_clothing_store	0.667	store	womens_clothing	False
ba sh	Ba &	3	0	womens_clothing_store	1.0	store	womens_clothing	False
machado joalheiro	Machado Joalheiro	3	0	jewelry_store	1.0	store	jewelry	False
mascarilha	Mascarilha	3	0	costume_store	1.0	store	costume	False
fashion clinic	Fashion Clinic	3	1	clothing_store	1.0	store	clothing	False
ermenegildo zegna	Ermenegildo Zegna	3	0	mens_clothing_store	0.667	store	mens_clothing	False
fly london	Fly London	3	0	shoe_store	1.0	store	shoes	False
suffa store	Suffa Store	3	0	furniture_store	1.0	store	furniture	False
costa nova	Costa Nova	3	0	home_and_garden	0.667	store	home	False
tintas tincomil	Tintas Tincomil	3	0	building_supply_store	1.0	store	hardware	False
wine shop	Wine Shop	3	0	liquor_store	1.0	store	wine_and_spirits	False
tabacaria santa	Tabacaria Santa	3	0	tobacco_shop	0.667	store	tobacco	False
camper	Camper	3	0	shoe_store	1.0	store	shoes	False
element	Element	3	0	fashion_accessories_store	0.667	store	fashion_accessories	False
smoke quality	Smoke Quality	3	1	e_cigarette_store	1.0	store	e_cigarette	False
sfera	Sfera	3	0	womens_clothing_store	0.667	store	womens_clothing	False
2smok	2Smok	3	0	e_cigarette_store	1.0	store	e_cigarette	False
ana maria	Ana Maria	3	1	clothing_store	1.0	store	clothing	False
boconcept	BoConcept	3	0	furniture_store	1.0	store	furniture	False
a4 tabacaria	A4 Tabacaria	3	0	tobacco_shop	1.0	store	tobacco	False
intermarche	Intermarché	3	1	superstore	1.0	store	any	False
moveis paulo	Móveis Paulo	3	0	furniture_store	1.0	store	furniture	False
giovanni galli	Giovanni Galli	3	0	mens_clothing_store	0.667	store	mens_clothing	False
garrafeira baco	Garrafeira Baco	3	0	liquor_store	1.0	store	wine_and_spirits	False
zwilling	ZWILLING	3	0	kitchen_supply_store	1.0	store	kitchen_supply	False
home cook	Home &	3	0	kitchen_supply_store	1.0	store	kitchen_supply	False
faconnable outlet	Façonnable Outlet	3	0	mens_clothing_store	1.0	store	mens_clothing	False
ecco outlet	ECCO Outlet	3	0	shoe_store	0.667	store	shoes	False
moda jovem	Moda Jovem	3	0	clothing_store	1.0	store	clothing	False
throttleman	Throttleman	3	0	mens_clothing_store	0.667	store	mens_clothing	False
sacoor blue	Sacoor Blue	3	0	clothing_store	1.0	store	clothing	False
adega da	Adega da	3	0	liquor_store	1.0	store	wine_and_spirits	False
moveis santa	Móveis Santa	3	0	furniture_store	1.0	store	furniture	False
moveis jose	Móveis José	3	0	furniture_store	1.0	store	furniture	False
sapataria pedro	Sapataria Pedro	3	0	shoe_store	1.0	store	shoes	False
jose antonio	Jose Antonio	3	0	building_supply_store	0.667	store	hardware	False
livraria do	Livraria Do	3	0	bookstore	1.0	store	books	False
sapataria a	Sapataria A	3	0	shoe_store	1.0	store	shoes	False
brico depot	Brico Depôt	3	0	home_improvement_store	0.667	store	hardware	True
moveis teixeira	Móveis Teixeira	3	0	furniture_store	1.0	store	furniture	False
webmoveis	Webmóveis	3	0	furniture_store	1.0	store	furniture	False
sons do	Sons do	3	1	musical_instrument_store	1.0	store	musical_instrument	False
cigavapor	Cigavapor	3	0	e_cigarette_store	1.0	store	e_cigarette	False
stefanel official	Stefanel Official	3	0	womens_clothing_store	1.0	store	womens_clothing	False
grandoptical portugal	GrandOptical Portugal	3	0	eyewear_and_optician	1.0	store	eyewear_and_optician	True
wells continente	Wells, Continente	3	0	drugstore	1.0	store	drugstore	False
pcdiga	PCDiga	3	0	electronics	1.0	store	electronics	True
opticlasse	Opticlasse	3	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
opticalia centro	Opticalia Centro	3	1	fashion_accessories_store	1.0	store	fashion_accessories	True
globaldata	Globaldata	3	0	electronics	0.667	store	electronics	False
susanagateira	Susanagateira	3	0	sporting_goods	0.667	store	sports	False
estores e	Estores e	3	0	linen	1.0	store	home	False
skechers	Skechers	3	0	shoe_store	1.0	store	shoes	True
imagem	Imagem	3	1	clothing_store	1.0	store	clothing	False
casual	Casual	3	0	clothing_store	1.0	store	clothing	False
mira serra	Mira Serra	3	0	tobacco_shop	1.0	store	tobacco	False
decathlon express	Decathlon Express	3	1	sporting_goods	1.0	store	sports	True
new concept	New Concept	3	0	clothing_store	0.667	store	clothing	False
cupa stone	Cupa Stone	3	0	building_supply_store	1.0	store	hardware	False
salto alto	Salto Alto	3	0	shoe_store	0.667	store	shoes	False
auchan supermercado	Auchan Supermercado	3	0	discount_store	1.0	store	any	False
papelaria sao	Papelaria São	3	0	office_equipment	0.667	store	office_equipment	False
inoxtubo	Inoxtubo	3	0	superstore	0.667	store	any	False
one watch	One Watch	3	0	jewelry_store	1.0	store	jewelry	False
ourivesaria ferreira	Ourivesaria Ferreira	3	0	jewelry_store	1.0	store	jewelry	False
look fashion	Look Fashion	3	1	clothing_store	1.0	store	clothing	False
confortauto pneus	Confortauto Pneus	3	0	home_goods_store	1.0	store	home	False
eurofirms people	Eurofirms People	3	1	kitchen_supply_store	1.0	store	kitchen_supply	False
minisom vila	Minisom Vila	3	0	hearing_aid_provider	1.0	store	hearing_aid_provider	False
irmaos silva	Irmãos Silva	3	0	building_supply_store	0.667	store	hardware	False
pe d	Pe D'Oliveira	3	0	shoe_store	0.667	store	shoes	False
queijaria flor	Queijaria Flor	3	0	cheese_shop	1.0	store	cheese	False
ourivesaria pedro	Ourivesaria Pedro	3	1	jewelry_store	1.0	store	jewelry	False
sapataria silva	Sapataria Silva	3	0	shoe_store	1.0	store	shoes	False
adega do	Adega do	3	0	liquor_store	1.0	store	wine_and_spirits	False
mg kids	MG Kids	3	0	childrens_clothing_store	0.667	store	childrens_clothing	False
fc in	FC In	3	0	clothing_store	0.667	store	clothing	False
tudo a	Tudo a	3	0	clothing_store	0.667	store	clothing	False
petit dreams	Petit Dreams	3	1	childrens_clothing_store	1.0	store	childrens_clothing	False
paula costa	Paula Costa	3	0	clothing_store	1.0	store	clothing	False
tien21	Tien21	3	0	appliance_store	0.667	store	electronics	False
celeiro do	Celeiro do	3	1	furniture_store	1.0	store	furniture	False
moveis fernando	Móveis Fernando	3	0	furniture_store	1.0	store	furniture	False
knock knock	Knock Knock	3	0	arts_and_crafts	0.667	store	arts_and_crafts	False
adega de	Adega de	3	1	liquor_store	1.0	store	wine_and_spirits	False
botton	Botton	3	0	clothing_store	1.0	store	clothing	False
homa vila	Hôma Vila	3	0	home_goods_store	0.667	store	home	True
prof shoes	PROF Shoes	3	0	shoe_store	1.0	store	shoes	False
urban project	Urban Project	3	0	clothing_store	1.0	store	clothing	False
bella boutique	Bella Boutique	3	0	clothing_store	0.667	store	clothing	False
ourivesaria j	Ourivesaria J	3	0	jewelry_store	1.0	store	jewelry	False
lojapro	Lojapro	3	0	medical_supply	1.0	store	medical_supply	False
new store	New Store	3	0	shoe_store	0.667	store	shoes	False
kaprichos	Kaprichos	3	0	clothing_store	0.667	store	clothing	False
ourivesaria central	Ourivesaria Central	3	0	jewelry_store	1.0	store	jewelry	False
pequenos e	Pequenos e	3	0	toy_store	0.667	store	toys	False
seletivedeta texteis	Seletivedeta Texteis	3	0	lingerie_store	0.667	store	lingerie	False
mv oticas	MV Óticas	3	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
ferragens do	Ferragens do'	3	0	hardware_store	1.0	store	hardware	False
ourivesaria marques	Ourivesaria Marques	3	0	jewelry_store	1.0	store	jewelry	False
garrafeira marques	Garrafeira Marques	3	0	liquor_store	1.0	store	wine_and_spirits	False
tabacaria mimos	Tabacaria Mimos	3	0	tobacco_shop	1.0	store	tobacco	False
papelaria papiro	Papelaria Papiro	3	0	arts_and_crafts	0.667	store	arts_and_crafts	False
ourivesaria antonio	Ourivesaria António	3	0	jewelry_store	1.0	store	jewelry	False
arte com	Arte com	3	0	arts_and_crafts	0.667	store	arts_and_crafts	False
tecidos de	Tecidos de	3	1	fabric_store	1.0	store	fabric	False
jose dias	José Dias	3	0	building_supply_store	0.667	store	hardware	False
lapis de	Lapis De	3	0	bookstore	0.667	store	books	False
aguarela	Aguarela	3	1	arts_and_crafts	1.0	store	arts_and_crafts	False
ourivesaria dias	Ourivesaria Dias	3	0	jewelry_store	1.0	store	jewelry	False
moveis andrade	Móveis Andrade	3	0	furniture_store	1.0	store	furniture	False
pes de	Pés de	3	0	shoe_store	0.667	store	shoes	False
auto escapes	Auto Escapes	3	0	auto_parts_and_supply_store	1.0	store	auto_parts_and_supply	False
4 estacoes	4 Estacoes	3	0	clothing_store	0.667	store	clothing	False
luxus	Luxus	3	0	womens_clothing_store	0.667	store	womens_clothing	False
bigmat city	BIGMAT CITY	3	0	building_supply_store	0.667	store	hardware	False
estudio de	Estúdio de	3	0	clothing_store	0.667	store	clothing	False
teelegend	TeeLegend	3	0	clothing_store	1.0	store	clothing	False
moveis sousa	móveis sousa	3	0	furniture_store	1.0	store	furniture	False
centroxogo brinquedos	Centroxogo Brinquedos	3	0	toy_store	1.0	store	toys	True
nutribio	NutriBio	3	0	vitamins_and_supplements	0.667	store	vitamins_and_supplements	False
eugenio campos	Eugénio Campos	3	0	jewelry_store	1.0	store	jewelry	False
belmoda	Belmoda	3	0	clothing_store	0.667	store	clothing	False
cosmetica do	Cosmética do	3	0	cosmetic_and_beauty_supplies	1.0	store	beauty	False
urban style	Urban Style	3	0	clothing_store	1.0	store	clothing	False
perfumaria dubai	Perfumaria Dubai	3	0	cosmetic_and_beauty_supplies	0.667	store	beauty	False
marella	Marella	3	0	womens_clothing_store	0.667	store	womens_clothing	False
otica adao	Ótica -	3	0	photography_store_and_services	0.667	store	photography_store_and_services	False
macovex	Macovex	3	0	building_supply_store	1.0	store	hardware	False
moveis ferreira	Móveis Ferreira	3	0	furniture_store	1.0	store	furniture	False
porto sc	PORTO SC	3	0	clothing_store	1.0	store	clothing	False
presidente optica	Presidente Óptica	3	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
closet by	Closet by	3	0	clothing_store	0.667	store	clothing	False
ribeiro s	Ribeiro's Bike	3	0	bicycle_shop	0.667	store	bicycle	False
tek4life	Tek4life	3	0	computer_store	1.0	store	electronics	False
moveis monteiro	Móveis Monteiro	3	0	furniture_store	0.667	store	furniture	False
optica pepura	Optica Pepura	3	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
fullbike	FullBike	3	0	bicycle_shop	1.0	store	bicycle	False
carla alves	Carla Alves	3	0	clothing_store	0.667	store	clothing	False
moveis j	Móveis J.C.	3	0	furniture_store	1.0	store	furniture	False
moveis branco	Móveis Branco	3	0	furniture_store	1.0	store	furniture	False
lacos com	Laços com	3	0	childrens_clothing_store	0.667	store	childrens_clothing	False
ourivesaria julio	Ourivesaria Júlio	3	0	jewelry_store	1.0	store	jewelry	False
petit pomme	Petit Pomme	3	0	childrens_clothing_store	0.667	store	childrens_clothing	False
nico kids	NICO Kids	3	0	childrens_clothing_store	1.0	store	childrens_clothing	False
bambini	Bambini	3	0	childrens_clothing_store	0.667	store	childrens_clothing	False
moveis coelho	Moveis Coelho	3	0	furniture_store	1.0	store	furniture	False
ind arte	Ind'Arte Loja	3	0	furniture_store	0.667	store	furniture	False
moveis ribeiro	Móveis Ribeiro	3	0	furniture_store	1.0	store	furniture	False
moveis rodrigues	Móveis Rodrigues	3	0	furniture_store	1.0	store	furniture	False
berco de	Berço de	3	0	clothing_store	0.667	store	clothing	False
bigmat martins	BIGMAT MARTINS	3	0	building_supply_store	1.0	store	hardware	False
